node_1,node_2,edge,source
Zero-Reference Patents,Breakthrough Patents,"Zero-reference patents, when combined with existing knowledge, can lead to breakthrough patents in the future, showing that zero-reference patents can be the seeds for future technological advancements.",The Emergence of New Knowledge: The Case of Zero-Reference Patents
Knowledge Network Centrality,Knowledge Creation,"There is an inverted-U relationship between an inventor's knowledge network centrality and their knowledge creation, indicating that moderate centrality contributes more to knowledge creation than high or low centrality.",How multiple networks help in creating knowledge: evidence from alternative energy patents
Collaboration Network Centrality,Knowledge Creation,"High collaboration network centrality positively moderates the inverted U-shape relationship between knowledge network centrality and knowledge creation, suggesting that central inventors in collaboration networks benefit more from medium levels of knowledge network centrality.",How multiple networks help in creating knowledge: evidence from alternative energy patents
Structural Holes in Collaboration Network,Knowledge Creation,"Spanning more structural holes in the collaboration network positively moderates the relationship between knowledge network centrality and knowledge creation, indicating that inventors who bridge more structural holes benefit more from medium levels of knowledge network centrality.",How multiple networks help in creating knowledge: evidence from alternative energy patents
Marketing Strategy,Business Strategy,"Marketing Strategy should provide inputs to Business Strategy, emphasizing the marketing perspective in strategic decision-making.",Marketing Strategy: New Directions for Theory and Research
Consumer Needs,Marketing Strategy,"Consumer Needs should be the foundation for developing Marketing Strategy, guiding the corporate mission.",Marketing Strategy: New Directions for Theory and Research
Competitive Advantage,Marketing Strategy,"The quest for Competitive Advantage should be a central focus of Marketing Strategy, influencing long-term business success.",Marketing Strategy: New Directions for Theory and Research
Environmental Forces,Marketing Strategy,Environmental Forces should be analyzed and combined with other strategic inputs to inform Marketing Strategy.,Marketing Strategy: New Directions for Theory and Research
Synergy,Marketing Program or Mix,Synergy among marketing mix components and product/portfolio selection should be maximized in the Marketing Program or Mix.,Marketing Strategy: New Directions for Theory and Research
International Orientation,Marketing Strategy,An International Orientation should be integrated into Marketing Strategy to address multinational operations and decisions.,Marketing Strategy: New Directions for Theory and Research
Competitive Analysis,Marketing Strategy,Competitive Analysis should be a key component in the development and evaluation of Marketing Strategy.,Marketing Strategy: New Directions for Theory and Research
Integrated Strategic Framework,Marketing Strategy,An Integrated Strategic Framework should be used for the generation and evaluation of Marketing Strategy alternatives.,Marketing Strategy: New Directions for Theory and Research
DB-Combination Model,Technological Knowledge Domains,The DB-Combination Model is based on the identification of Technological Knowledge Domains.,Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
"Methodologies (A1, A2, A3)",Knowledge Similarity,"Methodologies A1, A2, and A3 are used to measure the Knowledge Similarity between different Technological Knowledge Domains.",Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
Patent Information,Technological Knowledge Domains,Patent Information is used to identify Technological Knowledge Domains.,Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
Patent Information,Knowledge Similarity,Patent Information is also used to measure the Knowledge Similarity between identified Technological Knowledge Domains.,Knowledge combination modeling: The measurement of knowledge similarity between different technological domains
AI Patents,WIPO AI Share,The number of AI patents influences the WIPO AI Share within a technology domain.,Tracking artificial intelligence in climate inventions with patent data
CPC Y02 Subclasses,Patent Citations,"Patents classified under CPC Y02 subclasses, particularly those related to AI, may receive a different number of citations, indicating their impact in the field of climate change mitigation and adaptation.",Tracking artificial intelligence in climate inventions with patent data
AI Patents,Patent Assignees,"The type of assignee (commercial, individual, non-profit) for AI patents can vary over time, with commercial assignees becoming increasingly dominant.",Tracking artificial intelligence in climate inventions with patent data
AI Patents,Government Support,"AI patents may show a changing relationship with government support, with a trend towards less reliance on public support and government interest or funding.",Tracking artificial intelligence in climate inventions with patent data
Temporal Exploration,Impact,"Temporal Exploration has a positive curvilinear relationship with Impact, indicating that a balance in combining knowledge across time spans is important for future knowledge creation.",Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Temporal Exploitation,Impact,"Temporal Exploitation has a positive linear relationship with Impact, suggesting that using recent knowledge contributes to the impact of new knowledge creation.",Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Recency,Impact,"Recency has a positive linear relationship with Impact, where using more recent knowledge leads to greater impact on future knowledge creation.",Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Time Spread,Impact,"Time Spread has a positive curvilinear relationship with Impact, showing that a moderate time spread in knowledge recombination is optimal for impact.",Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Recency,Time Spread,"There is an interaction effect between Recency and Time Spread in their relationship with Impact, suggesting that the balance between recency and time spread is crucial for maximizing impact.",Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge
Clustering Coefficient (CC),Weighted Patent Value (WPV),"High clustering enhances information transmission capacity and is expected to have a positive effect on WPV, especially when combined with high reach.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Reach,Weighted Patent Value (WPV),"High reach, indicated by short average path lengths, is expected to have a positive effect on WPV, especially when combined with high clustering.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Small World Quotient (Q),Weighted Patent Value (WPV),"The relationship between small world Quotient and WPV is expected to be parabolical, with an optimal level of small world nature enhancing WPV of innovation performance.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Largest Component Size (LC),Weighted Patent Value (WPV),"The size of the largest connected component is expected to correlate positively with increased future WPV of the members, as it boosts information flow and knowledge transfer.",The impact of university–industry collaboration networks on innovation in nanobiopharmaceuticals
Artificial Intelligence (AI),Sustainable Development Goals (SDGs),"AI can enable the accomplishment of 134 targets across all the SDGs and may inhibit 59 targets, indicating a dual potential to both support and hinder the achievement of these goals.",The role of artificial intelligence in achieving the Sustainable Development Goals
Technology Innovation,Basic Research,Technology innovation in biotechnology relies more on basic research and tends to be enhanced.,Empirical analysis of the relationship between technology innovation and basic research
Technology Innovation,Patents,Patents can be viewed as a materialization of technologies and a measure of innovative and technological development.,Empirical analysis of the relationship between technology innovation and basic research
Basic Research,Academic Journals,The basic knowledge of technology innovation mainly comes from the papers of academic journals.,Empirical analysis of the relationship between technology innovation and basic research
Technology Innovation,Public Science,Public science plays an important role in technology innovation in biotechnology.,Empirical analysis of the relationship between technology innovation and basic research
Knowledge Transfer Speed,Technology Innovation,Knowledge transfer speed reflects the age of the patented technology used in the R&D of basic research knowledge.,Empirical analysis of the relationship between technology innovation and basic research
Early Disclosure,Duplication,"Early Disclosure, as implemented by AIPA, is shown to reduce Duplication by making patent applications publicly available, thus allowing inventors to be aware of existing work and avoid redundant research efforts.",Early Disclosure of Invention and Reduced Duplication: An Empirical Test
Early Disclosure,Blocking Patent Applications,"Early Disclosure is negatively associated with Blocking Patent Applications because it provides a clear and micro measure of technological competition, allowing inventors to see already claimed technologies and reduce the number of future applications that are blocked.",Early Disclosure of Invention and Reduced Duplication: An Empirical Test
Number of scientific knowledge cited by patent,Counts of patent’s forward citation,"There is a positive correlation between the number of scientific knowledge cited by a patent and the counts of the patent’s forward citation, indicating that the utilization of scientific knowledge contributes to the patent quality and its likelihood of being cited.",How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Time lag between new scientific knowledge and patent,Counts of patent’s forward citation,"The time lag between new scientific knowledge and a patent has a negative impact on the counts of the patent’s forward citation, suggesting that newer scientific knowledge enhances patent value.",How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Number of technological knowledge cited by patent,Counts of patent’s forward citation,"The number of technological knowledge cited by a patent is positively correlated with the counts of the patent’s forward citation, which implies that the use of technological knowledge improves patent quality and its citation potential.",How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Time lag between new technological knowledge and patent,Counts of patent’s forward citation,"The time lag between new technological knowledge and a patent negatively affects the counts of the patent’s forward citation, indicating that prompt utilization of new scientific knowledge during the invention process can lead to more citations.",How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Technology coupling,Counts of patent’s forward citation,"Technology coupling, which measures the difficulty of invention, is positively related to the counts of patent’s forward citation, suggesting that patented inventions with a higher level of technology coupling are more likely to be cited and valued.",How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Percent of patents citing scientific knowledge in each sub-technology field,Counts of patent’s forward citation,"The percent of patents citing scientific knowledge in each sub-technology field shows a positive, though not always significant, relationship with the counts of the patent’s forward citation, indicating that patents citing scientific knowledge in specific fields may have higher citation counts.",How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Invalidation Request,Patent Reexamination Board Decision,An Invalidation Request prompts the Patent Reexamination Board to make a decision on the patent's validity.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Invalidation Request,Case Concluding Time,The presence of an Invalidation Request may extend the Case Concluding Time due to the need for additional review and proceedings.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Patent Reexamination Board Decision,Case Concluding Time,"The timing of the Patent Reexamination Board Decision can influence the Case Concluding Time, as the court may wait for the decision before concluding the case.",Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Patentee,Invalidation Request,"The patentee's characteristics, such as being a large enterprise, may influence the likelihood of an Invalidation Request being filed.",Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Technical Field,Invalidation Request,"The technical field of the patent may affect the propensity for an Invalidation Request to be filed, with certain fields having higher rates of such requests.",Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Claims,Invalidation Request,"The specificity and scope of the Claims in a patent may influence the likelihood of an Invalidation Request, as broader or more contentious claims may be more likely to be challenged.",Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Market Impact [Mi],Patent Family Size,"Market Impact is determined by the size of the patent family, with larger families indicating a broader market impact.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Technology Impact [Ti],Citations,"Technology Impact is determined by the number of citations, with more citations indicating a higher technological contribution.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Minew,GDP of the Country,"Minew, a proposed indicator, is influenced by the GDP of the country, reflecting the market importance of the technology.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
CIf,Total Number of Citations,"CIf, a proposed indicator for forward citations, is a function of the total number of citations.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
CIf,Rate of Citations per Year,"CIf is also a function of the rate of citations per year, accounting for the frequency of citations.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
CIf,Remaining Life of the Patent,"CIf considers the remaining life of the patent, as newer patents may not have had time to accumulate citations.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
CIb,Amount of Cited Patents,"CIb, a proposed indicator for backward citations, is a function of the amount of cited patents.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
CIb,Citation Rate in Designated States,"CIb is influenced by the citation rate in the designated states, reflecting the patent's impact in those markets.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
CIb,Citation Rate at the Main IPC Class,"CIb is also influenced by the citation rate at the main IPC class, indicating the patent's impact within its technology area.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Cohort Similarity,Forward Citations,"Cohort Similarity is found to correlate significantly with the number of Forward Citations received by both U.S. and EP patents, suggesting it as a potential alternative measure.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Cohort Similarity,Patent Classifications,"Cohort Similarity is expected to be inversely related to the number of Patent Classifications, indicating that patents with lower similarity to their cohort may draw upon a broader range of technologies.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Cohort Similarity,Claim Breadth,"Cohort Similarity is significantly positively correlated with Claim Breadth, suggesting that patents with broader claims tend to be more similar to their cohort.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Cohort Similarity,Patent Maintenance,"Cohort Similarity is significantly negatively correlated with Patent Maintenance, indicating that patents with lower similarity may be more valuable and thus maintained longer.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Cohort Similarity,Recorded Assignments,"Cohort Similarity is significantly negatively correlated with Recorded Assignments, suggesting that patents with lower similarity may have a higher private value and are more likely to be transferred.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Cohort Similarity,Generality,"Cohort Similarity is significantly negatively correlated with Generality, implying that patents with a broader future applicability across technology fields may have lower similarity to their cohort.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Technological Paradigm,Technological Trajectories,Technological Paradigm determines the direction of Technological Trajectories.,Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Technological Trajectories,S-curve Method,Technological Trajectories are analyzed and represented using the S-curve Method.,Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Patent Quantity,Technological Trajectories,An increasing Patent Quantity indicates ongoing development within Technological Trajectories.,Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Technology Cycle Time (TCT),Technological Trajectories,A shorter Technology Cycle Time suggests a faster updating speed and potential maturity within Technological Trajectories.,Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Stakeholders,Technological Trajectories,Stakeholders influence and are influenced by the development and direction of Technological Trajectories.,Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Patent Quality,Novelty,"Patent Quality is legally required to have Novelty, which is one of the 'three performances'.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Quality,Creativity,"Creativity is a crucial component of Patent Quality, directly determining the technological advancement of the patent.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Quality,Usefulness,"Usefulness is a legal requirement for Patent Quality, ensuring the patent's practical application.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Quality,Patent Types,"Patent Quality is categorized into different types, each with specific quality regulations and evaluation criteria.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Types,Technical Level,"The Technical Level is a characteristic that differentiates between basic-type patents, technological patents, and applied-type patents.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Quality,Market Value,"Patent Quality is significantly correlated with Market Value, indicating the potential economic prospects of the patent.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Quality,Legal Authorization,"Legal Authorization is a basic condition that affects the quality of patents, ensuring their legal standing.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Quality,Patent Evaluation Standards,"Patent Evaluation Standards are used to measure Patent Quality, with different standards for different technical levels of patents.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Evaluation Standards,Empirical Research,Empirical Research investigates the scientific nature of the classification evaluation index of patent quality.,Research on the Classification Evaluation of Patent Quality and Empirical Test
R&D Investment,Technological Innovation,"R&D Investment can increase the resource endowment of innovation activities, optimize production conditions, and promote the output of technological innovation.","Research on the Dynamic Interrelationship among R&D Investment, Technological Innovation, and Economic Growth in China"
Technological Innovation,Economic Growth,"Technological innovation, through the utilization of its achievements, can lead to the production of new products, reduction in resource consumption, and decreased emissions, thereby contributing to economic growth.","Research on the Dynamic Interrelationship among R&D Investment, Technological Innovation, and Economic Growth in China"
Economic Growth,R&D Investment,"Economic growth can lead to increased affluence and improved living standards, which in turn can result in more funds being invested in R&D activities, promoting further advances in technological innovation.","Research on the Dynamic Interrelationship among R&D Investment, Technological Innovation, and Economic Growth in China"
Firm's Market Return on Equity,Patent Citation Patterns,The firm's market return on equity is related to information about patent citation patterns.,Using patent citation patterns to infer innovation market competition
Daily Abnormal Stock Returns,Patents Granted,The daily abnormal stock returns are higher when patents are granted to a firm.,Using patent citation patterns to infer innovation market competition
Citations to Patents,Firm's Market Value,The firm's market value increases when its patent portfolio is cited by other patents.,Using patent citation patterns to infer innovation market competition
Citations from Same Area of Science (IPC),Firm's Market Value,"Citations from patents within the same area of science tend to reduce the firm's market value, indicating competition.",Using patent citation patterns to infer innovation market competition
Self-Citations,Firm's Market Value,Self-citations do not significantly affect the firm's market value.,Using patent citation patterns to infer innovation market competition
Non-Self Citations,Firm's Market Value,"Non-self citations, indicating recognition from other firms, positively affect the firm's market value.",Using patent citation patterns to infer innovation market competition
Firm and Year Fixed Effects,Daily Abnormal Stock Returns,Control for firm and year specific characteristics that might affect daily abnormal stock returns.,Using patent citation patterns to infer innovation market competition
Risk Factors,Daily Abnormal Stock Returns,Account for market risk factors that might influence daily abnormal stock returns.,Using patent citation patterns to infer innovation market competition
Geographical Distance,Probability of Prior Art Being Caught,Geographical Distance negatively affects the probability of prior patents being caught in ISRs.,Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Knowledge Diffusion Time,Probability of Prior Art Being Caught,"Lag of prior art positively affects the probability of being caught in ISRs, indicating older patents are more likely to be found.",Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Organizational Distance,Probability of Prior Art Being Caught,"If the prior patent is from the same applicant, it is easier for the patent office to locate the prior relevant art, positively affecting the probability of being caught in ISRs.",Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Knowledge Diffusion Probability,Probability of Prior Art Being Caught,"The size of forward citations of prior art positively affects the probability of being caught in ISRs, suggesting a higher chance of discovery for well-cited patents.",Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Technological Complexity,Probability of Prior Art Being Caught,"Technological complexity of an application negatively affects the probability of prior patents being caught in ISRs, implying that more complex applications are harder to search.",Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Self-Selection of ISAs,Probability of Prior Art Being Caught,"U.S. and Japanese applicants choosing the EPO as their ISA positively affects the probability of prior art being caught in ISRs, indicating a preference for the EPO's search capabilities.",Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Customer Demand Information,Text Classification,Customer Demand Information is used as input for Text Classification to identify key research areas.,Computers & Industrial Engineering 171 (2022) 108403
Text Classification,Key Research Areas,Text Classification helps in determining the Key Research Areas for technology improvement.,Computers & Industrial Engineering 171 (2022) 108403
Key Research Areas,Patent Analysis,Patent Analysis is conducted in the identified Key Research Areas to find related patents.,Computers & Industrial Engineering 171 (2022) 108403
Patent Analysis,TOPSIS-Entropy Method,Patent Analysis provides data for the TOPSIS-Entropy Method to evaluate patent quality.,Computers & Industrial Engineering 171 (2022) 108403
TOPSIS-Entropy Method,Core Patents,The TOPSIS-Entropy Method identifies Core Patents with the best comprehensive quality in key research areas.,Computers & Industrial Engineering 171 (2022) 108403
Core Patents,Technical Solutions,Technical Solutions are extracted from Core Patents to guide technology improvement.,Computers & Industrial Engineering 171 (2022) 108403
Technical Solutions,Bearing Steel Quality,Technical Solutions are implemented to improve Bearing Steel Quality.,Computers & Industrial Engineering 171 (2022) 108403
Technical Solutions,Deoxidation Technology,Technical Solutions include improving Deoxidation Technology to enhance Bearing Steel Quality.,Computers & Industrial Engineering 171 (2022) 108403
Technical Solutions,Spheroidizing Annealing Heat Treatment,Adjusting Spheroidizing Annealing Heat Treatment parameters is part of Technical Solutions to control large particle inclusions.,Computers & Industrial Engineering 171 (2022) 108403
Material Composition Design,Bearing Steel Quality,Improving Material Composition Design is a Technical Solution that affects Bearing Steel Quality.,Computers & Industrial Engineering 171 (2022) 108403
Continuous Casting and Rolling Parameters,Bearing Steel Quality,Controlling Continuous Casting and Rolling Parameters is a Technical Solution to manage carbide size and uniformity in Bearing Steel Quality.,Computers & Industrial Engineering 171 (2022) 108403
Patent Strategy Performance,Patent Creation,"The effectiveness of the patent strategy performance is influenced by the level of patent creation within the cluster, which includes patent applications and authorizations.",Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Strategy Performance,Patent Utilization,The patent strategy performance is affected by how well the cluster utilizes its patents to create value and maximize patent effectiveness.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Strategy Performance,Patent Protection,The performance of the patent strategy is linked to the cluster's ability to protect its patents and establish comprehensive protection systems.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Strategy Performance,Patent Management,"The overall patent management capabilities, including the development of patent management departments and intellectual property systems, impact the patent strategy performance.",Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Creation,Growth Rate of Patent Application,"The level of patent creation is reflected through the growth rate of patent applications, indicating the activity level of patent development.",Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Creation,Growth Rate of Invention Patent Authorization,The quality of patent development is shown by the growth rate of invention patent authorizations within the cluster.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Utilization,Growth Rate of Patented Product Sales Revenue,The effectiveness of patent utilization is indicated by the growth rate of sales revenue from patented products.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Protection,Decline Rate of Patent Infringement,The cluster's patent protection efforts are measured by the decline rate of patent infringement incidents.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Management,Growth Rate of Patent Agency,The development of professional patent management within the cluster is shown by the growth rate of patent agencies.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Management,Growth Rate of Cluster Enterprises Possessing Patent Management Department,The formalization of patent management within cluster enterprises is reflected by the growth rate of enterprises with dedicated patent management departments.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Output,Economic Growth,"Patent output has a significant lagged effect on economic growth, indicating a dynamic accumulation process where the impact of patent output on economic growth is more noticeable in subsequent years rather than the current year.",Study on the Economic Growth of Patent Output in the High-tech Industry
Return on equity,Coupling degree,"The higher the return on equity, the higher the coupling degree, indicating better coordination between the patent portfolio and the target enterprise.",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Overseas market growth rate,Coupling degree,"An increase in the overseas market growth rate is associated with a higher coupling degree, suggesting that expansion in overseas markets enhances the coordinated development.",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Increase rate of main business revenue,Coupling degree,"A higher increase rate of main business revenue correlates with a higher coupling degree, reflecting the impact of business growth on the synergy between the patent portfolio and the target enterprise.",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Growth rate of patent technology,Coupling degree,"An increase in the growth rate of patent technology is linked to a higher coupling degree, indicating that the development of the patent portfolio positively affects the coordinated development.",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Number of overseas patent applications,Coupling degree,"A higher number of overseas patent applications is associated with a higher coupling degree, implying that international patenting efforts contribute to the dynamic coupling.",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Increasing rate of fixed assets,Coupling degree,"A higher increasing rate of fixed assets is linked to a higher coupling degree, suggesting that investment in fixed assets supports the coordinated development between the patent portfolio and the target enterprise.",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
R&D Expenses,Coupling degree,Increased R&D expenses are expected to enhance the coupling degree by strengthening the patent portfolio's contribution to the enterprise's development.,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Expense ratio,Coupling degree,"A lower expense ratio is associated with a higher coupling degree, indicating that efficient management of expenses contributes to better coordination in development.",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Resource transformation capability,Coupling degree,"An enhanced resource transformation capability is linked to a higher coupling degree, reflecting the importance of efficient resource use in the synergy between the patent portfolio and the target enterprise.",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Patent Type,Patent Quality,"The type of patent, particularly the proportion of invention patents, is a direct reflection of the technological innovation and thus affects the overall patent quality.",An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Technical Category,Technological Innovation Capacity,"The technical category of patents, especially in core areas such as cultivation and processing, directly reflects the technological innovation capacity of the industry.",An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Legal Status,Patent Quality,"The legal status of patents, with a higher proportion of patents that are continuing effective, indicates better patent quality.",An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Patent Maintenance Time,Patent Quality,"Longer maintenance time generally indicates higher patent quality, as patentees are willing to invest in maintaining patents with perceived value.",An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Patentee's Willingness to Maintain,Patent Maintenance Time,The patentee's willingness to continue paying annual fees is a key factor influencing the duration of patent maintenance time.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Authorized Use of Patents,Patent Coverage,A higher percentage of approved use of patents suggests broader patent coverage within the industry.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Dependency on Modern Pharmaceutical Industry,Technological Innovation Capacity,High dependency on the modern pharmaceutical industry may limit the technological innovation capacity of the Chinese herbal medicine industry.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
