name,define,source
Basic Research,"Original research that is conducted without a specific application in mind, with the aim of advancing scientific knowledge.",Empirical analysis of the relationship between technology innovation and basic research
Patents,Legal documents that grant inventors the exclusive right to their inventions for a certain period.,Empirical analysis of the relationship between technology innovation and basic research
Academic Journals,Publications that contain articles written by researchers to share their findings and advancements in a specific field.,Empirical analysis of the relationship between technology innovation and basic research
Public Science,"Scientific research performed and supported by governmental, academic, and charitable research institutes.",Empirical analysis of the relationship between technology innovation and basic research
Knowledge Transfer Speed,The time delay between the published year of cited papers and the year of issue of the patent.,Empirical analysis of the relationship between technology innovation and basic research
Early Disclosure,"The act of revealing patent applications 18 months after filing, as mandated by the American Inventors Protection Act (AIPA).",Early Disclosure of Invention and Reduced Duplication: An Empirical Test
Duplication,"The occurrence of multiple inventors or entities working on similar or identical inventions, leading to potential overlap or competition in patent claims.",Early Disclosure of Invention and Reduced Duplication: An Empirical Test
Blocking Patent Applications,Future patent applications that are rejected or blocked due to the existence of a prior patent that is deemed to make the new application obvious or not novel.,Early Disclosure of Invention and Reduced Duplication: An Empirical Test
Counts of patent’s forward citation,Counts of patent’s forward citation,How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Number of scientific knowledge cited by patent,Number of scientific knowledge cited by patent,How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Time lag between new scientific knowledge and patent,Time lag between new scientific knowledge and patent,How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Number of technological knowledge cited by patent,Number of technological knowledge cited by patent,How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Time lag between new technological knowledge and patent,Time lag between new technological knowledge and patent,How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Number of distribution of technological fields of patent,Number of distribution of technological fields of patent,How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Percent of patents citing scientific knowledge in each sub-technology field,Percent of patents citing scientific knowledge in each sub-technology field,How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Technology coupling,Technology coupling,How does Basic Research Promote the Innovation for Patented Invention: a Measuring of NPC and Technology Coupling
Invalidation Request,A legal action taken by an accused infringer to challenge the validity of a patent.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Patent Reexamination Board Decision,The decision made by the Patent Reexamination Board regarding the legal status of a patent.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Case Concluding Time,The duration it takes for a patent infringement case to be concluded.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Patent Grant Numbers,Unique identifiers assigned to patents upon grant.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Patentee,The legal owner of the patent.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Technical Field,The area of technology to which the patent pertains.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Claims,The specific legal claims made in a patent.,Empirical Research on Invalidation Request of Invention Patent Infringement Cases in Shanghai
Market Impact [Mi],"A measure of the market impact of a patent, determined by the size of the patent family.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Technology Impact [Ti],"A measure of the technology impact of a patent, determined by citations.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Patent Family Size,"The number of jurisdictions in which a patent has been sought, indicating the market impact of the technology.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Citations,"References to a patent in other patents, indicating the patent's contribution to subsequent inventions.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
GDP of the Country,"The Gross Domestic Product of the country where the patent is applied, reflecting the market importance.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
IPC Class,"The International Patent Classification class, representing different technology areas.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Total Number of Citations,The overall count of citations a patent has received.,EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Rate of Citations per Year,The average number of citations a patent receives per year.,EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Remaining Life of the Patent,"The time left before the patent expires, affecting the potential for future citations.",EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Amount of Cited Patents,The number of patents that are cited by a particular patent.,EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Citation Rate in Designated States,The frequency of citations in the countries where the patent is applied.,EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Citation Rate at the Main IPC Class,The frequency of citations within the main technology area of the patent.,EMPIRICAL STUDY OF THE IMPORTANCE OF BIBLIOMETRIC INDICATORS FOR PATENT PORTFOLIO VALUATION AND PROPOSED NEW INDICATOR MODEL
Cohort Similarity,"A measure of the similarity of a patent to its technological-temporal cohort, based on linguistic analysis of claim text.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Forward Citations,"Traditionally used as an empirical metric for patents, indicating patent information content, cumulative innovation, value, and knowledge flows.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Patent Classifications,A measure of the technology sources combined and built on by a given patent’s technical disclosure.,Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Claim Breadth,"A measure of the scope of legal rights granted to the patent owner, reflected by the number of words in the shortest independent claim of a patent.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Patent Maintenance,"An indicator of the value of a patent to its owner, reflected by the number of maintenance payments made.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Recorded Assignments,"A proxy for private patent value, indicated by the number of recorded ownership transfers.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Generality,"A measure of the range of technological classifications of the patent’s forward citations, representing the patent's future applicability to a broader range of technology fields.",Investigating Cohort Similarity as an Ex Ante Alternative to Patent Forward Citations
Technological Paradigm,A concept that influences the direction of technological progress and represents a model or pattern for solving technology selection problems.,Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Technological Trajectories,"Paths of technology progress determined by technological paradigms, influenced by factors such as scientific development rules, industrial conflict, market drive, and regulations.",Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
S-curve Method,"A method used to fit technological trajectories based on the theory of saturated upper limit, where performance parameters of a technology reach an upper limit and follow an S-shaped growth pattern.",Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Patent Quantity,"An indicator used to observe the development and maturity of a technology, with an increasing trend suggesting ongoing development.",Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Technology Cycle Time (TCT),"A measure of the updating speed of technologies, with a shorter cycle time indicating faster technology updates.",Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Stakeholders,"Entities involved in the development and application of technologies, including manufacturers, developers, and regulatory authorities.",Research on Technological Trajectories Based on Patent Documents and Related Empirical Study
Patent Quality,A decisive position in national intellectual property development strategy and an important basis for technological innovation performance.,Research on the Classification Evaluation of Patent Quality and Empirical Test
Novelty,"One of the 'three performances' that patents must have according to patent law, a legal requirement for patents.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Creativity,"One of the 'three performances' and the most important among them, directly determining the quality of patented technology.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Usefulness,One of the 'three performances' that patents must have according to patent law.,Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Types,"Divided into basic-type patents, technological patents, and applied-type patents based on the characteristics of patents and technology.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Technical Level,The level of patent technology which is the essence of patents and affects the quality of patents.,Research on the Classification Evaluation of Patent Quality and Empirical Test
Market Value,"The economic prospects and potential economic value that patents can create, significantly correlated with patent quality.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Legal Authorization,"The basic condition for the quality of patents, obtaining legal authorization is essential for patent quality.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Patent Evaluation Standards,"The criteria used to judge the quality of patents, which should be differentiated according to the technical level of patents.",Research on the Classification Evaluation of Patent Quality and Empirical Test
Empirical Research,The investigation of the scientific nature of the classification evaluation index of patent quality.,Research on the Classification Evaluation of Patent Quality and Empirical Test
R&D Investment,Input of resources such as funding and personnel into research and development activities.,"Research on the Dynamic Interrelationship among R&D Investment, Technological Innovation, and Economic Growth in China"
Technological Innovation,"Output of innovation activities, including patents and scientific papers.","Research on the Dynamic Interrelationship among R&D Investment, Technological Innovation, and Economic Growth in China"
Economic Growth,"Overall economic performance, measured through indicators like GDP and residents' consumption level.","Research on the Dynamic Interrelationship among R&D Investment, Technological Innovation, and Economic Growth in China"
Firm's Market Return on Equity,The return on a firm's equity in the stock market.,Using patent citation patterns to infer innovation market competition
Patent Citation Patterns,Information about how patents are cited by other patents.,Using patent citation patterns to infer innovation market competition
Daily Abnormal Stock Returns,The stock returns that are abnormal or unexpected on a given day.,Using patent citation patterns to infer innovation market competition
Detailed Patent Classification System,The system that classifies patents into specific areas of science.,Using patent citation patterns to infer innovation market competition
Patents Granted,The number of patents that have been granted to a firm.,Using patent citation patterns to infer innovation market competition
Citations to Patents,The number of times a firm's patents are cited by other patents.,Using patent citation patterns to infer innovation market competition
Citations from Same Area of Science (IPC),"Citations that come from the same area of science as the cited patent, as indicated by the International Patent Classification (IPC).",Using patent citation patterns to infer innovation market competition
Self-Citations,Citations made by a firm to its own patents.,Using patent citation patterns to infer innovation market competition
Non-Self Citations,Citations made by other firms to a firm's patents.,Using patent citation patterns to infer innovation market competition
Firm and Year Fixed Effects,Control variables representing the fixed effects for each firm and year in the study.,Using patent citation patterns to infer innovation market competition
Firm's Market Value,Firm's Market Value,Using patent citation patterns to infer innovation market competition
Risk Factors,Variables representing the risk factors suggested by Fama and French (1993) extension of the CAPM model.,Using patent citation patterns to infer innovation market competition
Probability of Prior Art Being Caught,Probability of Prior Art Being Caught,Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Geographical Distance,The physical distance between the location of the patent office issuing the ISR and the location of the cited prior patent.,Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Knowledge Diffusion Time,The time lag between the first priority date of the citing patent and the cited prior patent.,Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Organizational Distance,Whether the cited prior patent and the citing patent belong to the same applicant.,Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Knowledge Diffusion Probability,The number of forward examiner citations made to the cited patent family.,Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Technological Complexity,"The scope of the application for which an ISR is issued, measured by the number of IPC subclasses, claims, inventors, and international family size.",Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Self-Selection of ISAs,Whether U.S. and Japanese applicants choose the EPO as their ISA.,Cognitive Distances in Prior Art Search by the Triadic Patent Offices: Empirical Evidence from International Search Reports
Customer Demand Information,"Data collected from various sources such as e-commerce website reviews, forums, literature, patents, and reports.",Computers & Industrial Engineering 171 (2022) 108403
Text Classification,Method used to classify technical fields and determine key research areas based on customer demand data.,Computers & Industrial Engineering 171 (2022) 108403
Patent Analysis,Method to find related patents in key research areas and evaluate their quality.,Computers & Industrial Engineering 171 (2022) 108403
TOPSIS-Entropy Method,A technique used to calculate the relative fitness of patents and identify core patents with the best comprehensive quality.,Computers & Industrial Engineering 171 (2022) 108403
Technical Solutions,Specific technical solutions extracted from core patents to provide a basis for technology improvement and customer satisfaction.,Computers & Industrial Engineering 171 (2022) 108403
Bearing Steel Quality,The quality aspect of bearing steel that is being improved through the identified technical opportunities.,Computers & Industrial Engineering 171 (2022) 108403
Deoxidation Technology,A technological aspect related to the improvement of bearing steel quality.,Computers & Industrial Engineering 171 (2022) 108403
Spheroidizing Annealing Heat Treatment,A heat treatment process parameter that can affect the size of large particle inclusions in bearing steel.,Computers & Industrial Engineering 171 (2022) 108403
Material Composition Design,The design of the material composition in bearing steel and its relation to the control of large particle inclusions and carbide size.,Computers & Industrial Engineering 171 (2022) 108403
Continuous Casting and Rolling Parameters,Process parameters that can control carbide size and uniformity in bearing steel.,Computers & Industrial Engineering 171 (2022) 108403
Patent Strategy Performance,The overall effectiveness of the patent strategy within high & new technology enterprise clusters.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Creation,"The first step of patent strategy implementation, reflected through patent application and patent authorization.",Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Utilization,"The transformation of patents into value creation, focusing on maximizing patent effectiveness.",Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Protection,The use of patent systems to protect innovation advantages and establish comprehensive patent protection systems.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Patent Management,"The overall patent management capabilities within the cluster, including the development of patent management departments and intellectual property systems.",Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Growth Rate of Patent Application,Measures the level of activity in patent development within the cluster.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Growth Rate of Invention Patent Authorization,Reflects the development quality of the cluster's patent development.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Growth Rate of Patented Product Sales Revenue,Indicates the commercial success of patented products.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Decline Rate of Patent Infringement,Measures the effectiveness of the cluster's patent protection efforts.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Growth Rate of Patent Agency,Indicates the development of professional patent management within the cluster.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Growth Rate of Cluster Enterprises Possessing Patent Management Department,Reflects the extent of formalized patent management within cluster enterprises.,Study on the Performance Evaluation System of Patent Strategy of High & New Technology Enterprise Clusters
Economic Growth,Represents the economic effect of various industries.,Study on the Economic Growth of Patent Output in the High-tech Industry
Patent Output,Represents the patent output effect of various industries.,Study on the Economic Growth of Patent Output in the High-tech Industry
Lagged Patent Output (LnPA_it-j),"Lag value of the patent output, where j represents the lag length.",Study on the Economic Growth of Patent Output in the High-tech Industry
Return on equity,Current term net profit / Average net assets during the period,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Overseas market growth rate,Overseas business income growth / Overseas business income,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Increase rate of main business revenue,Main business revenue growth / Main business income last year,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Growth rate of patent technology,Number of increases in the number of patent applications for this period / Number of patent applications at the beginning of the period,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Number of overseas patent applications,"Annual number of patent applications in the United States, Japan and Europe",Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Increasing rate of fixed assets,The original value of fixed assets for the period / net value of fixed assets at the beginning of the period,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
R&D Expenses,Investment in R&D process,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Expense ratio,Selling expenses / Management expenses,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Coupling degree,Measures the coordinated development between the patent portfolio and the target enterprise,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Resource transformation capability,Reflects the enterprise operation efficiency and production efficiency improvement and specialized division of labor and cooperation,Research on Dynamic Coupling Measurement between Patent Portfolio and Target Enterprise
Patent Type,"The category of the patent, including invention patents, utility model patents, and design patents.",An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Technical Category,"The technical field of the patent, such as Chinese herbal medicine cultivation, processing technology, and packaging.",An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Legal Status,"The current legal status of the patent, including continuing effective, termination, expiration, invalid, and (as) to give up.",An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Patent Maintenance Time,"The duration for which the patent has been maintained, categorized into different time frames.",An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Authorized Rate,The percentage of patents that have been authorized out of the total number of patents.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Patent Quality,A general measure of the value and technological content of the patents.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Patentee's Willingness to Maintain,The tendency of the patentee to continue paying annual fees to maintain the patent.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Technological Innovation Capacity,The ability of the Chinese herbal medicine geographical indications industry to innovate technologically.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Patent Coverage,The breadth of the industry's patent protection.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Approved Use of Patents,The percentage of patents that have been approved for use in enterprises.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Dependency on Modern Pharmaceutical Industry,The extent to which the Chinese herbal medicine industry relies on patents from the modern pharmaceutical industry.,An Empirical Study on the Patent Quality of Chinese Herbal Medicine Geographical Indications Industry
Energy Technology Patents,"The number of patents related to energy technology, reflecting the output of R&D expenditure and innovation capabilities.",Relationships between energy technology patents and CO2 emissions in China: An empirical study
CO2 Emissions,"The total amount of CO2 emissions, influenced by factors such as economic growth and energy consumption.",Relationships between energy technology patents and CO2 emissions in China: An empirical study
CO2 Emissions Intensity,"CO2 emissions per unit of GDP, an indicator of greenhouse gas emission reduction effectiveness.",Relationships between energy technology patents and CO2 emissions in China: An empirical study
GDP,"Gross Domestic Product, representing the economic performance of China.",Relationships between energy technology patents and CO2 emissions in China: An empirical study
Tobin's Q,"A measure of a firm's market value, calculated by the total value of the firm plus total indebtedness divided by total assets.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
Back,"The average backward citations of a firm's patents, indicating the innovation degree and path of knowledge transfer.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
For,"The average forward citations of a firm's patents, used to evaluate the patent quality and its impact on the patent's value.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
High,"The number of a firm's highly cited patents, considered as an important indicator for measuring technology development.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
Claim,"The average claims of a firm's patents, representing the scope of patent claims which can affect the patent value.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
Scope,"The average IPC-4 count, a method to measure the patent scope, with a wider scope indicating more technical points of protection and greater innovation.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
Size,"The average family size of a firm's patents, used as an indicator to measure the patent quality.",Does Firm’s Value Matter With Firm’s Patent Quality in Technology-Intensive Industries?
R&D Expenditures,Financial investment in research and development activities by firms.,Hysteresis effects of R&D expenditures and patents on firm performance: An empirical study of Hsinchu Science Park in Taiwan
Patents,"The number of patents filed and approved by the Intellectual Property Office, indicating innovation output.",Hysteresis effects of R&D expenditures and patents on firm performance: An empirical study of Hsinchu Science Park in Taiwan
Firm Performance,"Measured by total business turnover, reflecting the economic success of firms.",Hysteresis effects of R&D expenditures and patents on firm performance: An empirical study of Hsinchu Science Park in Taiwan
